levels,tid,phoneticword,pid,code,word,translation,definition,refn,code_status,ontology_branches
L6,43,kArShNyam (kEvalavAta),16,AAB-27,कार्ष्ण्यम् (केवलवात),blackish discoloration (due only to वातदोष) , ,Ah.Su.11/6; Bp.Ma.23/217,Active,
L6,44,kubjatvam (kEvalavAta),16,AAB-28,कुब्जत्वम् (केवलवात),kyphosis/captocormia (due only to वातदोष) , ,Ca.Su.20/11; Ca.Ci.15/14; Ma.Ni.23/188,Active,
L6,45,kArSyam (kEvalavAta),16,AAB-29,कार्श्यम् (केवलवात),emaciation (due only to वातदोष) , ,Bp.Ma.23/217,Active,
L6,46,keSaBUmisPuTanam (kEvalavAta),16,AAB-30,केशभूमिस्फुटनम् (केवलवात),cracking of scalp (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,47,kha~jjaH/kha~jjatvam (kEvalavAta),16,AAB-31,खञ्जः/खञ्जत्वम् (केवलवात),lameness (unilateral) (due only to वातदोष) , ,Ca.Su.20/11; Ma.Ni.22/59-60; Bp.Ma.24/151,Active,
L6,48,garBanASaH (kEvalavAta),16,AAB-32,गर्भनाशः (केवलवात),foetal distress/foetal death (due only to वातदोष) , ,Ca.Ci.28/22; Ma.Ni. 22/7; Bp. Ma. 24/219,Active,
L6,49,grIvAstamBaH (kEvalavAta),16,AAB-33,ग्रीवास्तम्भः (केवलवात),neck stiffness/torticollis/spasmodic torticollois (due only to वातदोष) , ,Ca.Su.20/11; Ca.Ci.28/22; Ma.Ni.22/8,Active,
L6,50,gudaBraMSaH (kEvalavAta),16,AAB-34,गुदभ्रंशः (केवलवात),rectal prolapse (due only to वातदोष) , ,Ca.Su.20/11; Su.Ni.13/61; Ma.Ni.55/54; Sha.Pu.7/93; Bp.Ma. 61/105,Active,
L6,51,gudArtiH (kEvalavAta),16,AAB-35,गुदार्तिः (केवलवात),anal pain/proctalgia (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,52,gulPa-grahaH (kEvalavAta),16,AAB-36,गुल्फ-ग्रहः (केवलवात),stiff ankle (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,53,gRudhrasI (kEvalavAta),16,AAB-37,गृध्रसी (केवलवात),sciatica (due only to वातदोष) ,"the disorder is characterized by क्रमात् स्फिक्-कटि-पृष्ठ-ऊरु-जानु-जङ्घा-पदेषु स्तम्भः [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], स्पन्दते मुहुः [constant/frequent throbbing/twiching sensation], सक्थि-निगृह्णन [supression/holding down of thighs], जानुसंधि-स्फुरणम् [twitching sensation in knee], जानुसंधि-स्तब्धता [stiffness in knee joint], कटिसंधि-स्फुरणम् [twitching sensation in waist], कटिसंधि-स्तब्धता [stiffness of lowback], ऊरुसंधि-स्फुरणम् [twitching sensation in thigh], ऊरुसंधि-स्तब्धता [stiffness in thigh], तोदः [pricking pain], देह-प्रवक्रता [bending/flexion of the body] ",Ca.Su.20/11; Ca.Ci.28/56-57; Su.Ni.1/74; Ah.Ni.15/54; Ma.Ni.22/54-56; Sha.Pu.7/108; Bp.Ma.23/129-130,Active,
L6,54,ghrANanASaH/nAsAhuNDanam (kEvalavAta),16,AAB-38,घ्राणनाशः/नासाहुण्डनम् (केवलवात),anosmia (due only to वातदोष) , ,Ca.Su.20/11; Ca.Ci.28/22,Active,
L6,55,jAnuBedaH (kEvalavAta),16,AAB-39,जानुभेदः (केवलवात),breaking pain of knees (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,56,jAnuviSleShaH (kEvalavAta),16,AAB-40,जानुविश्लेषः (केवलवात),lax knee (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,57,jRumBA (kEvalavAta),16,AAB-41,जृम्भा (केवलवात),morbid yawning/oscitation (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,58,tamaH (kEvalavAta),16,AAB-42,तमः (केवलवात),fainting/syncope (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,60,timiraH (kEvalavAta),16,AAB-43,तिमिरः (केवलवात),partial or total blindness/amaurosis/ametropia/partial obstruction of vision (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,61,tvakSUnyatA (kEvalavAta),16,AAB-44,त्वक्शून्यता (केवलवात),hypoesthesia (due only to वातदोष) , ,Bp.Ma.23/58,Active,
L6,62,todaH (kEvalavAta),16,AAB-45,तोदः (केवलवात),pricking pain (due only to वातदोष) , ,Bp.Ma.23/218,Active,
L6,63,daNDakaH (kEvalavAta),16,AAB-46,दण्डकः (केवलवात),tonic convulsion (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,64,dantaBedaH (kEvalavAta),16,AAB-47,दन्तभेदः (केवलवात),odontalgia/tooth fracture (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,65,dantaSaithilyam (kEvalavAta),16,AAB-48,दन्तशैथिल्यम् (केवलवात),tooth mobility (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,66,nakhaBedaH (kEvalavAta),16,AAB-49,नखभेदः (केवलवात),brittle nail (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,67,hrasvakeSaH (kEvalavAta),16,AAB-50,ह्रस्वकेशः (केवलवात),short hair (due only to वातदोष) , ,Bp.Ma.23/216,Active,
L6,68,nirAmavAtaH,16,AAB-51,निरामवातः,vitiation of वात without association of आम (undigested material) , ,Ah.Ni.16/30,Active,
L6,69,pakShAghAtaH/pakShavadhaH (kEvalavAta),16,AAB-52,पक्षाघातः/पक्षवधः (केवलवात),hemiplegia/hemiparesis (due only to वातदोष) , ,Ca.Su.20/11; Su.Ni.1/60-62,Active,
L6,70,pA~ggulyam (kEvalavAta),16,AAB-53,पाङ्गुल्यम् (केवलवात),limping (due only to वातदोष) , ,Ca.Su.20/11; Su.Ni.1/77,Active,
L6,71,pAdaBraMSaH (kEvalavAta),16,AAB-54,पादभ्रंशः (केवलवात),foot drop (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,72,pAdaSUlaH (kEvalavAta),16,AAB-55,पादशूलः (केवलवात),leg pain (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,73,pAdasuptatA (kEvalavAta),16,AAB-56,पादसुप्तता (केवलवात),numbness of foot (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,74,pAruShyam (kEvalavAta),16,AAB-57,पारुष्यम् (केवलवात),roughness (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,75,pArSvAvamardaH (kEvalavAta),16,AAB-58,पार्श्वावमर्दः (केवलवात),flank pain (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,76,piNDikodveShTanam (kEvalavAta),16,AAB-59,पिण्डिकोद्वेष्टनम् (केवलवात),calf muscle cramp (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,77,purIShAtigADhatvam (kEvalavAta),16,AAB-60,पुरीषातिगाढत्वम् (केवलवात),hard stool (due only to वातदोष) , ,Sha.Pu.7/110,Active,
L6,78,pRuShTha-grahaH (kEvalavAta),16,AAB-61,पृष्ठ-ग्रहः (केवलवात),stiff back (due only to वातदोष) , ,Ca.Su.20/11; Ah.Ni.15/7,Active,
L6,79,pralApakaH (kEvalavAta),16,AAB-62,प्रलापकः (केवलवात),delirium (due only to वातदोष) , ,Ah.Su.11/6; Sha.Pu.7/112,Active,
L6,80,bAdhiryam (kEvalavAta),16,AAB-63,बाधिर्यम् (केवलवात),deafness (due only to वातदोष) , ,Ca.Su.20/11;; Ca.Ci.26/127; u.Ni.1/83; Su.U.20/8; Ah.U.17/10; Ma.Ni.57/3; Sha.Pu.kha.7/142; Bp.Ma.64/7,Active,
L6,81,bAhuSoShaH (kEvalavAta),16,AAB-64,बाहुशोषः (केवलवात),atrophy of arm (due only to वातदोष) , ,Ca.Su.20/11; Sha.Pu.23/71,Active,
L6,82,balahAniH (kEvalavAta),16,AAB-65,बलहानिः (केवलवात),weakness (due only to वातदोष) , ,Bp.Ma.23/219,Active,
L6,83,BedaH (kEvalavAta),16,AAB-66,भेदः (केवलवात),splitting pain/breaking pain (due only to वातदोष) , ,Bp.Ma.23/218,Active,
L6,84,BIrutA (kEvalavAta),16,AAB-67,भीरुता (केवलवात),cowardness (due only to वातदोष) , ,Sha.Pu.7/114; Bp.Ma.23/219,Active,
L6,85,mala-apravRutiH (kEvalavAta),16,AAB-68,मल-अप्रवृतिः (केवलवात),retention of stool (due only to वातदोष) , ,Bp.Ma.23/218,Active,
L6,86,mUkatvam (kEvalavAta),16,AAB-69,मूकत्वम् (केवलवात),dumbness/aphasia (due only to वातदोष) , ,Ca.Su.20/11; Su.Ni.1/85; Sha.Pu.7/111; Ma.Ni.22/65-66; ; Bp.Ma.23/45,Active,
L6,87,mohaH (kEvalavAta),16,AAB-70,मोहः (केवलवात),unconsciousness (due only to वातदोष) , ,Bp.Ma.23/218,Active,
L6,88,BramaH (kEvalavAta),16,AAB-71,भ्रमः (केवलवात),giddiness (due only to वातदोष) , ,Ca.Su.20/11; Ah.Su.11/3,Active,
L6,89,BrUvyudAsaH (kEvalavAta),16,AAB-72,भ्रूव्युदासः (केवलवात),twitching eyebrow (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,90,manyAstamBaH (kEvalavAta),16,AAB-73,मन्यास्तम्भः (केवलवात),stiff neck/torticollis/wry neck (due only to वातदोष) , ,Ca.Su.20/11; Ca.Ci.28/45; Su.Ni.1/67; Sha.Pu.7/107; Bp.Ma.23/75,Active,
L6,91,mukhaSoShaH (kEvalavAta),16,AAB-74,मुखशोषः (केवलवात),xerostomia/dry mouth (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,92,mUtranigrahaH (kEvalavAta),16,AAB-75,मूत्रनिग्रहः (केवलवात),anuria/uroschesis (due only to वातदोष) , ,Bp.Ma.23/122,Active,
L6,93,rajonASaH (kEvalavAta),16,AAB-76,रजोनाशः (केवलवात),amenorrhoea (due only to वातदोष) , ,Ca.Ci.28/22; Ma.Ni.22/7; Bp.Ma.23/218,Active,
L6,94,raukShyam (kEvalavAta),16,AAB-77,रौक्ष्यम् (केवलवात),dryness (due only to वातदोष) , ,Ca.Su.20/11; Bp.Ma.23/217,Active,
L6,95,lomaharShaH (kEvalavAta),16,AAB-78,लोमहर्षः (केवलवात),horripilaton (due only to वातदोष) , ,Bp.Ma.23/217,Active,
L6,96,lalATaBedaH (kEvalavAta),16,AAB-79,ललाटभेदः (केवलवात),splitting pain of forehead (due only to वातदोष) , ,Ca.Su.20/11; Sha.Pu.7/106; Bp.Ma.23/217,Active,
L6,97,trikagrahaH (kEvalavAta),16,AAB-80,त्रिकग्रहः (केवलवात),sacroiliac joint stiffness (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,98,vartmastamBaH (kEvalavAta),16,AAB-81,वर्त्मस्तम्भः (केवलवात),ptosis/stiff eyelid (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,99,vartmasa~gkocaH (kEvalavAta),16,AAB-82,वर्त्मसङ्कोचः (केवलवात),entropion/contraction of eyelid (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,100,vakShoparodhaH (kEvalavAta),16,AAB-83,वक्षोपरोधः (केवलवात),impaired thoracic movement (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,101,vakShastodaH (kEvalavAta),16,AAB-84,वक्षस्तोदः (केवलवात),chest pain (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,102,vAk-sa~ggaH (kEvalavAta),16,AAB-85,वाक्-सङ्गः (केवलवात),lalling speech (due only to वातदोष) , ,Ca.Su.20/11; Sha.Pu.7/106,Active,
L6,103,vAcAlatA (kEvalavAta),16,AAB-86,वाचालता (केवलवात),talkativeness (due only to वातदोष) , ,Bp.Ma.23/216,Active,
L6,104,vAtakhuDDatA/vAtakaNTakaH (kEvalavAta),16,AAB-87,वातखुड्डता/वातकण्टकः (केवलवात),club foot/deformity in ankle (due only to वातदोष) , ,Ca.Su.20/11; Su.Ni.1/79; Ah.Ni.16/4; Ma.Ni.22/61-62; Bp.Ma.23/216,Active,
L6,105,vAmanatvam (kEvalavAta),16,AAB-88,वामनत्वम् (केवलवात),dwarfism (due only to वातदोष) , ,Ca.Su.20/11; Sha.Pu.7/109,Active,
L6,106,viD-BedaH (kEvalavAta),16,AAB-89,विड्-भेदः (केवलवात),diarrhoea due only to वात (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,107,vipAdikA (nAnAtmaja) (kEvalavAta),16,AAB-90,विपादिका (नानात्मज) (केवलवात),cracks in palms and soles (due only to वातदोष) , ,Ca.Su.20/11; Ma.Ni.49/19,Active,
L6,108,viShAdaH/dInatA (kEvalavAta),16,AAB-91,विषादः/दीनता (केवलवात),depression/apathy (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,109,vRuShaNAkShepaH (kEvalavAta),16,AAB-92,वृषणाक्षेपः (केवलवात),scrotal pain (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,110,va~gkShaNAnAhaH (kEvalavAta),16,AAB-93,वङ्क्षणानाहः (केवलवात),distention of inguinal region (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,111,vyathA (kEvalavAta),16,AAB-94,व्यथा (केवलवात),pain/agony (due only to वातदोष) , ,Bp.Ma.23/217,Active,
L6,112,SirAsPUrtiH (kEvalavAta),16,AAB-95,शिरास्फूर्तिः (केवलवात),vasodilatation (due only to वातदोष) , ,Bp.Ma.23/218,Active,
L6,113,Siroruk (kEvalavAta),16,AAB-96,शिरोरुक् (केवलवात),headache/cephalgia/cephalalgia (due only to वातदोष) , ,Ca.Su.20/11; Ca.Su.24/13; Su.U.25/3,Active,
L6,114,SukrakShayaH (kEvalavAta),16,AAB-97,शुक्रक्षयः (केवलवात),oligospermia (due only to वातदोष) , ,Ca.Ci.28/34; Ah.Ni.5/13; Sha.Pu.7/113; Bp.Ma.23/219,Active,
L6,115,Sa~gkhaBedaH (kEvalavAta),16,AAB-98,शङ्खभेदः (केवलवात),temporal cephalalgia (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,116,SePastamBaH (kEvalavAta),16,AAB-99,शेफस्तम्भः (केवलवात),priapism (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,117,Saityam (kEvalavAta),16,AAB-100,शैत्यम् (केवलवात),chills/shivering (due only to वातदोष) , ,Bp.Ma.23/217,Active,
L6,119,SyAvAruNAsyatA (kEvalavAta),16,AAB-101,श्यावारुणास्यता (केवलवात),dusky-red oral pigmentation (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,120,SroNiBedaH (kEvalavAta),16,AAB-102,श्रोणिभेदः (केवलवात),pelvic pain (due only to वातदोष) , ,Ca.Su.20/11; Ah.Ni.15/7,Active,
L6,121,sa~gkocaH (kEvalavAta),16,AAB-103,सङ्कोचः (केवलवात),contracture (due only to वातदोष) , ,Bp.Ma.23/218,Active,
L6,122,svedanASaH (kEvalavAta),16,AAB-104,स्वेदनाशः (केवलवात),anhidrosis/hypohidrosis (due only to वातदोष) , ,Bp.Ma.23/219,Active,
L6,123,SramaH (kEvalavAta),16,AAB-105,श्रमः (केवलवात),physical exhaustion (due only to वातदोष) , ,Bp.Ma.23/219,Active,
L6,124,sarvA~ggarogaH/sarvA~ggavAtaH (kEvalavAta),16,AAB-106,सर्वाङ्गरोगः/सर्वाङ्गवातः (केवलवात),total body paralysis/quadriplegia (due only to वातदोष) , ,Ca.Su.20/11; Ca.Ci.28/29,Active,
L6,125,stamBaH (kEvalavAta),16,AAB-107,स्तम्भः (केवलवात),stiffness/rigidity/spasticity (due only to वातदोष) , ,Ca.Ci.28/20; Bp.Ma.23/217,Active,
