levels,tid,pid,code,word,arabic,translation,definition
L4,21,3,A-10,Māshrā,ماشریٰ,Erysipelas,"<em>Māshrā</em> is a <em>Suryānī</em> word which literally means acute inflammation of any part of body due to predominance of <em>Dam</em> (blood/sanguine) and <em>Ṣafrā’</em> (yellow bile). Ancient Unani physicians have used this word for the inflammation of face and forehead. <em>Ibn Sīnā</em>, had included this term for the acute inflammation of liver which is caused exclusively due to predominance of <em>Ṣafrā’</em> (yellow bile). But most recent Unani physicians describe this as an acute inflammation of face and forehead in which the face becomes red and swollen accompanied with pain and itching."
L4,22,3,A-11,Mā’ al-Ra’s,ماء الراس,Hydrocephalus,"Accumulation of fluid in the head. This can be of two types, either the accumulation is beneath the scalp or inside the head. If it occurs inside the head, the patient experience heaviness of head, eyes remain open with continuous lacrimation and this is usually a fatal condition. When the fluid is accumulated beneath the scalp due to bad obstetric procedure, it is usually curable and subsides gradually (caput succeedenum)."
L4,23,3,A-12,Subāt,سبات,Coma,A prolonged phase of deep unconsciousness. 
L5,24,23,A-12.1,Subāt Sahrī,سبات سهرى,Coma vigil,A type of deep sleep with phases of consciousness in between. This type of unconsciousness is due to the predominance of <em>Balgham</em> (phlegm). According to <em>Qarshī</em> and most Unani physicians this is a type of inflammation of brain which is due to predominance of <em>Ṣafrā’</em> (yellow bile) and <em>Balgham</em> (phlegm).
L5,25,23,A-12.2,Subāt Bārid,سبات بارد,,A type of coma or unconsciousness which is caused either by the exposure of cold environment or by the intake of narcotic drugs.
L5,26,23,A-12.3,Subāt Ruṭūbī,سبات رطوبى,,A type of coma which is caused by the predominance of <em>Ruṭūbat</em> (moistness) in the body which in turn causes hindrance in the process of oxygenation.
L5,27,23,A-12.4,Subāt Damawī,سبات دموي,Sanguineous coma,A type of coma which is caused by the predominance of <em>Dam</em> (blood/sanguine) in the body.
L5,28,23,A-12.5,Subāt Bukhārī,سبات بخارى,,"A type of coma which is caused by the gases produced by bad humours of stomach, lungs, intestine and uterus."
L5,29,23,A-12.6,Subāt Ḍu‘fī,سبات ضعفي,,A type of coma which is caused by the weakness of brain and nerves.
L5,30,23,A-12.7,Subāt Ḍarbī,سبات ضربى,Traumatic coma,A type of coma due to injury of head and brain especially of temporal region.
L4,31,3,A-13,Sahr,سهر,Insomnia,A disease in which the patient remains in wakeful state all the time.
L5,32,31,A-13.1,Sahr Yābis,سهر يابس,,A state of wakefulness which is caused by the predominance of <em>Yubūsat</em> (dryness) either in terms of <em>Mādda</em> or matter i.e. <em>Sawdā’</em> (black bile) and <em>Ṣafrā’</em> (yellow bile) or simple.
L5,33,31,A-13.2,Sahr Ruṭūbī,سهر رطوبى,,A state of wakefulness which is due to accumulation of <em>Ruṭūbat</em> (moistness) in the brain.
L4,34,3,A-14,Nisyān,نسيان,Amnesia,A state of forgetfulness.
L5,35,34,A-14.1,Nisyān Bārid Raṭb,نسيان باردرطب,,A state of forgetfulness caused by the predominance of <em>Burūdat</em> (coldness) or Ruṭūbat (moistness) which is either simple or compound.
L5,36,34,A-14.2,Nisyān Bārid Yābis,نسيان بارد يابس,,A state of forgetfulness caused by the predominance of <em>Burūdat</em> (coldness) or <em>Yubūsat</em> (dryness).
L5,37,34,A-14.3,Nisyān Ḥārr Yābis,نسيان حار يابس,,A state of forgetfulness which is caused by the predominance of <em>Yubūsat</em> (dryness) in the brain tissues. This state is incurable if there is a decrease in tissue of brain.
L4,38,3,A-15,Ikhtlāṭ al-Dhahn,اختلاط الذهن,,A confused state of mind not reaching the level of <em>Junūn</em>. This is also a type of melancholia.
L4,39,3,A-16,Hadhayān,هذيان,Delirium,A state of stupor in which the patient talks continuously and irrelevantly.
L4,40,3,A-17,Ḥumq,حمق,Dementia,The weakness of the thinking faculties of brain which in turn leads to distraction of mind. These patients can not make a balanced state or equilibrium in social environment. The patient usually makes himself busy in doing irrelevant chores similar to children.
L4,41,3,A-18,Ru‘ūnat,رعونت,,A type of weakness of the thinking faculties of brain in which the patient becomes egoistic. The patient usually expresses violent behaviour and feels himself superior to others.
L4,42,3,A-19,Mālankhūliya,مالنخوليا,Melancholia,"This word is a combination of two words. <em>Mālan</em>, meaning black and <em>Khūliyā</em>, meaning <em>Ṣafrā’</em> (yellow bile). According to ancient Unani physicians this is a form of severe depression caused by the accumulation of <em>Muḥtariq Sawdā’</em> (burnt black bile) or <em>Muḥtariq Ṣafrā’</em> (burnt yellow bile) in the brain. Patients experience false perceptions."
L5,43,42,A-19.1,Mālankhūliya Damawī,مالنخوليا دموي,Sanguineous melancholia,"A type of melancholia caused due to the accumulation of <em>Muḥtariq Dam</em> (burnt sanguine) in the brain. It is characterized by redness of eyes, pulsus magnus and confused state of mind along with feeling of happiness."
L5,44,42,A-19.2,Mālankhūliya Balghamī,مالنخوليا بلغمي,Phlegmatic melancholia,"A type of melancholia caused due to the accumulation of <em>Muḥtariq Balgham</em> (burnt phlegm) in brain. It is characterized by laziness, comparatively cold and clammy skin along with other features of melancholia."
L5,45,42,A-19.3,Mālankhūliya Ṣafrāwī,مالنخوليا صفراوي,Bilious melancholia,"A type of melancholia caused due to the accumulation of <em>Muḥtariq Ṣafrā’</em> (brunt yellow bile) in brain. It is characterized by insanity, anger, delirium, restlessness and insomnia."
L5,46,42,A-19.4,Mālankhūliya Sawdāwī,مالنخوليا سوداوي,Melancholic melancholia,"A type of melancholia caused due to the accumulation of <em>Muḥtariq Sawdā’</em> (burnt black bile) and <em>Sawdā’</em> (black bile) in the brain. It is characterized by fear, disturbing thoughts, and crying disposition"
L5,47,42,A-19.5,Quṭrub/ ‘Illa al-Dhi’b/ Junūn Dhi’bī,قطرب/ علة الذئب/ جنون ذئبي,Lycanthropy,"A type of melancholia caused by <em>Muḥtariq Ṣafrā’</em> (burnt yellow bile). It is a chronic condition as its causative humour is more viscous and acute in nature. In this condition patient likes to live in isolation. During the daytime he stays in graveyards and comes out at night. He becomes irritative, emaciated and pale. Sometimes, he attacks other persons due to irritation. He makes noises resembling with dog and cock. Ulcers of calf muscles are also observed in these patients."
L5,48,42,A-19.6,Mālankhūliya Marāqī/ Nafkh Marāqī/ Marāqiyya/ ‘Illat Nāfikha/Sharsūfiya,مالنخوليا مراقي /نفخ مراقی /مراقیہ /علّت نافخہ/شرسوفیہ,Psychoneurosis,This type of disorder occurs when burnt humour get accumulated in the peritoneum because of internal heat and leads to the formation of <em>Bukhārāt</em> (gases) of bad quality. These vapours cause the disturbance in the brain.
L4,49,3,A-20,Junūn/ Waswās,جنون/ وسواس,Insanity,A disturbed state of mind in which patient becomes insane. In this condition patient develops false perceptions and hallucinations accompanied with behavioural changes. Patient usually indulges in misbehaviour and does not follow discipline.
L4,50,3,A-21,Māniyā/ Junūn Saba‘ī,مانيا/ جنون سبعی,Psychosis/Mania,A severe form of agitated behaviour.
L4,51,3,A-22,Dā’ al-Kalb,داء الكلب,Cynanthropy,A combined state of agitation and relaxation caused by the accumulation of <em>Muḥtariq Sawdā’</em> (burnt black bile) in the brain.
L4,52,3,A-23,Ṣubārā,صبارا,Maniac phrenitis,An intensely disturbed state of mind accompanied with fever. It is caused by <em>Muḥtariq Ṣafrā’</em> (burnt yellow bile) and resembles very much with <em>Sarsām Ṣafrāwī</em> in terms of fever and the condition of urine.
L4,53,3,A-24,‘Ishq,عشق,Erotomania,"A type of hallucination which resembles <em>Mālankhūliyā</em>. In this condition, patient usually visualises the picture or thought of his beloved person in order to feel him/her."
L4,54,3,A-25,Sadr-o-Duwār,سدر و دوار,Vertigo and giddiness,"Sadr is a disease of brain in which the person experiences darkness on standing. This condition usually accompanies with heaviness of head, tinnitus and confusion. <em>Duwār</em> is similar to <em>Sadr</em> but in this condition the patients feel giddiness also."
L5,55,54,A-25.1,Sadr-o-Duwār Dimāghī Damawī,سدر و دوار دماغي دموي,Sanguineous vertigo and giddiness,"A type of vertigo and giddiness caused by the accumulation of <em>Dam</em> (blood /sanguine) in the brain itself. It is characterized by frequent episodes of giddiness, flushing of face, redness of eyes and elevated temperature of head. Initially, it is accompanied with lacrimation."
L5,56,54,A-25.2,Sadr-o-Duwār Dimāghī Balghamī,سدر و دوار دماغي بلغمي,Phlegmatic vertigo and giddiness,"Mostly it occurs due to the accumulation of <em>Balgham</em> (phlegm) in the brain. It is characterized by vertigo and giddiness along with heaviness of head, increased salivation, decreased thirst, altered sensorium, increased sleep and pulsus mollis."
L5,57,54,A-25.3,Sadr-o-Duwār Dimāghī Ṣafrāwī,سدر و دوار دماغي صفراوي,Bilious vertigo and giddiness,"A type of vertigo and giddiness caused by the accumulation of <em>Ṣafrā’</em> (yellow bile) in the brain. It is characterized by vertigo and giddiness along with pale face, bitter taste, pulsus velox and thirst."
L5,58,54,A-25.4,Sadr-o-Duwār Dimāghī Sawdāwī,سدر و دوار دماغي سوداوي,Melancholic vertigo and giddiness,"A type of vertigo and giddiness caused by the accumulation of <em>Sawdā’</em> (black bile) in the brain. It is characterized by excessive thoughts and sleeplessness, pulsus debilis and pulses durus."
L5,59,54,A-25.5,Sadr-o-Duwār Shirkī,سدر و دوار شركي,Secondary vertigo and giddiness,The state of Sadr and <em>Duwār</em> which comes as a complication of some other systemic diseases.
L4,60,3,A-26,Lawā-o-Fayḥadhaj/ Bījīdhaq/ Al-Lawā,لویٰ و فيحذج/ بيجيذق/ اللویٰ,,"<em>Lawā</em> is a condition which occurs in persons who lead a sedentary life and take alcohol along with rich diet. In these persons, there is an excessive accumulation of gases in the body which in turn leads to heaviness of heart, increased fatigue and lethargy."
L4,61,3,A-27,Kābūs/ Al-Khāniq/ Al-Jāthūm wa’l Nīdlān/ Khānūq/ Ḍāghūṭ,كابوس/ الخانق/ا لجاثوم والنيدلان/ خانوق/ ضاغوط,Nightmare/Incubus,Its literal meaning is to create pressure. In this condition patient feels pressure on his chest in lying posture while asleep. He feels choked and asphyxiated.
L5,62,61,A-27.1,Kābūs Damawī,كابوس دموي,Sanguineous nightmare,"It is caused by the vapours arising out of thick <em>Dam</em> (sanguine). It is characterized by redness of body, eyes and imagery of red colored objects along with other symptoms of <em>Kābūs</em>."
L5,63,61,A-27.2,Kābūs Balghamī,كابوس بلغمي,Phlegmatic nightmare,"It is caused by the vapours arising out of thick phlegm towards already weakened brain. Apart from all the symptoms of <em>Kābūs</em> it is characterized by lethargy, imagery of white/green colored objects."
L5,64,61,A-27.3,Kābūs Bārid,كابوس بارد,,"This type of <em>Kābūs</em> occurs due to exposure of head to cold during sleep, inspite of the absence of predominance of any humour. It will not be characterized by the general symptoms of <em>Kābūs</em> and predominance of any humour."
L4,65,3,A-28,Ṣar‘,صرع,Epilepsy,Its literal meaning is to fall down. It is an episodic disease in which sensory and motor functions of the organs are stopped. The patient falls down and experience convulsions and frothing from the mouth.
L5,66,65,A-28.1,Ṣar‘ Dimāghī Sawdāwī,صرع دماغي سوداوي,,A type of <em>Ṣar‘</em> caused by the obstruction of ventricles of brain by the thick black bile which causes hindrance in the flow of motor faculties and psychic pneuma with in the related nerves.
L5,67,65,A-28.2,Ṣar‘ Dimāghī Aṣlī,صرع دماغي اصلي,Primary epilepsy,A condition where the cause of <em>Ṣar‘</em> (epilepsy) is in the brain itself.
L5,68,65,A-28.3,Ṣar‘ Shirkī,صرع شركي,Secondary epilepsy,A condition when <em>Ṣar‘</em> (epilepsy) occurs as a complication of other diseases of the body.
L5,69,65,A-28.4,Ṣar‘ Las‘ī,صرع لسعي,Sting epilepsy,A type of <em>Ṣar‘</em> (epilepsy) that occurs due to scorpion or insect bite.
L5,70,65,A-28.5,Ṣar‘ al-Aṭfāl,صرع الاطفال,Infantile epilepsy,"Epilepsy that occurs in children. Affected children experience convulsions with frothing from mouth. Most physicians think that <em>Umm al-Ṣibyān</em> and <em>Rīḥ al-Ṣibyān</em> are one and the same as is <em>Ṣar‘ al-Aṭfāl</em>, but some physicians do not support this statement. They think that <em>Umm al-Ṣibyān</em> is a type of <em>Ṣar‘</em> (epilepsy) which is accompanied with high fever."
L5,71,65,A-28.6,Ṣar‘ Badanī,صرع بدني,,Epilepsy of this type occurs when <em>Radī Bukhārāt</em> (putrefied gases) from the body get accumulated in the brain.
L5,72,65,A-28.7,Ṣar‘ Aṭrāfī,صرع اطرافي,,Epilepsy of this type occurs when <em>Radī Bukhārāt</em> (putrefied gases) from hand and legs get collected in the brain.
L5,73,65,A-28.8,Ṣar‘ Raḥimī,صرع رحمي,,<em>Ṣar‘</em> (epilepsy) due to the involvement of uterus.
L5,74,65,A-28.9,Ṣar‘ Khababī,صرع خببي,Procursive epilepsy,In this type of <em>Ṣar‘</em> (epilepsy) patient runs fast before the episode of convulsion.
L5,75,65,A-28.10,Ṣar‘ Khafīf,صرع خفيف,Petit mal,"In this type of <em>Ṣar‘</em> (epilepsy) intensity of convulsions is mild. This is usually accompanied with tinnitus, congestion and tension but there is no heaviness of head."
L5,76,65,A-28.11,Ṣar‘ Shadīd,صرع شديد,Grand mal,In this type of <em>Ṣar‘</em> (epilepsy) intensity of convulsions is severe.
L5,77,65,A-28.12,Ṣar‘ Ḍarbī,صرع ضربي,Traumatic epilepsy,A type of <em>Ṣar‘</em> (epilepsy) that occurs after injury of the head.
L5,78,65,A-28.13,Ṣar‘ Qalbī,صرع قلبي,,A type of <em>Ṣar‘</em> (epilepsy) associated with some cardiac diseases.
L5,79,65,A-28.14,Ṣar‘ Laylī,صرع لیلی,Nocturnal epilepsy,A type of <em>Ṣar‘</em> (epilepsy) in which episodic convulsions occur at night.
L5,80,65,A-28.15,Ṣar‘ Marāqī,صرع مراقي,Hypochondriacal neurosis,A type of <em>Ṣar‘</em> (epilepsy) associated with <em>Mālankhūliyā</em>.
L5,81,65,A-28.16,Ṣar‘ Nahārī,صرع نهاري,Diurnal epilepsy,In this type of <em>Ṣar‘</em> (epilepsy) episodic convulsions occur at daytime.
L5,82,65,A-28.17,Ṣar‘ Shirkī Mi‘dī,صرع شركي معدي,Secondary epilepsy,<em>Ṣar‘</em> (epilepsy) associated with the abdominal diseases.
L5,83,65,A-28.18,Ṣar‘ Ḥissī,صرع حسي,,<em>Ṣar‘</em> (epilepsy) due to the increased sensitivity of the brain.
L4,84,3,A-29,Sakta,سكتہ,Apoplexy,A condition that occurs when there is a complete obstruction of the ventricles of the brain and channels of oxygen. In this condition the motor and sensory functions of the body stop but the respiratory and circulatory functions remain active. Patient remains stationary.
L5,85,84,A-29.1,Sakta Damwiyya,سكتہ دمويہ,Sanguineous apoplexy,"Congestion of blood in the brain leads to this type of <em>Sakta</em> (apoplexy). In this type, patient’s eyes and face become red and vessels are congested."
L5,86,84,A-29.2,Sakta Balghamiyya,سكتہ بلغميہ,Phlegmatic apoplexy,"A type of apoplexy that occurs due to <em>Sudda Balghamī</em> (phlegmatic obstruction) in the brain. In this condition patient develops palor, flaccid muscles and there is discharge from nose and mouth."
L5,87,84,A-29.3,Sakta Sawdāwiyya,سكتہ سوداويہ,Melancholic apoplexy,A type of apoplexy that occurs due to accumulation of <em>Sawdā’</em> (black bile) in the brain.
L5,88,84,A-29.4,Sakta Iḥtiqāniyya,سكتہ احتقانيہ,Congestive apoplexy,A type of apoplexy in which there is engorgement of blood vessels of brain but exudation does not occur.
L5,89,84,A-29.5,Sakta Jildiyya,سكتہ جلديہ,Cutaneous apoplexy,An apparent form of <em>Sakta</em> (apoplexy) in which there is accumulation of exudates beneath the skin.
L5,90,84,A-29.6,Sakta Ri’wiyya,سكتہ رئويہ,Pulmonary apoplexy,When <em>Sakta</em> (apoplexy) occurs due to the haemorrhage of the vessels of lungs. This causes congestion of the lungs.
L5,91,84,A-29.7,Sakta Suddiyya,سكتہ سديہ,Thrombotic apoplexy,When <em>Sakta</em> (apoplexy) occurs due to the obstruction in the arteries of brain.
L5,92,84,A-29.8,Sakta Ḍarbiyya,سكتہ ضربيہ,Traumatic apoplexy,When <em>Sakta</em> (apoplexy) occurs due to injury of head.
L5,93,84,A-29.9,Sakta Mawlūdiyya,سكتہ مولوديہ,Neonatal apoplexy,When <em>Sakta</em> (apoplexy) occurs in newborns.
L4,94,3,A-30,Jumūd/ Shukhūṣ/ Ākhidha/Mudrika/ Qāṭūkhaṣ,جمود/ شخوص/ آخذة/ مدركة/ قاطوخص,Catalepsy,A condition that occurs due to the accumulation of <em>Sawdā’</em> (black bile) in hind brain. Due to this all the sensory functions of the brain stop and patient remains stationary in his position.
L4,95,3,A-31,Istirkhā’,استرخاء,Atony/Flaccidity,A condition where muscles of an organ or the whole body become flaccid and are not able to perform function.
L4,96,3,A-32,Fālij,فالج,Hemiplegia,Paralytic conditions where muscles of half body (longitudinally) on either side stop functioning except the head.
L5,97,96,A-32.1,Fālij Wabā’ī,فالج و بائي,,"<em>Fālij</em> (paralysis), that spreads in the form of epidemic in a certain area because of polluted air. This occurs mostly due to the involvement of heart. Patient suffering from this disease has bad breath, red eyes and confused state. This is usually accompanied with vomiting having blackish green vomitus and sometimes it leads to sudden death within hours to three days."
L4,98,3,A-33,Tashannuj,تشنج,Cramp/Convulsion/Spasm,A condition in which muscles contract towards their origin. It is a state of muscular spasm.
L5,99,98,A-33.1,Tashannuj Māddī/ Tashannuj Raṭb/ Tashannuj Imtilā’ī,تشنج مادي/ تشنج رطب/ تشنج امتلائي,Repletive spasm,A type of spasm that occurs due to the involvement of <em>Mādda</em> (organic matter). It occurs mostly in children.
L5,100,98,A-33.2,Tashannuj Yubsī/ Tashannuj Istifrāghī,تشنج يبسي/ تشنج استفراغي,Dry spasm,A type of spasm that occurs due to the predominance of <em>Yubūsat</em> (dryness) in muscles. Sometimes an intense dryness occurs by generalized evacuation of fluid from the body or by the use of some drugs which produce dryness in the body.
L5,101,98,A-33.3,Tashannuj Īdhā’ī,تشنج ايذائي,,A type of spasm that occurs in order to remove an injurious substance from the muscles whether it is an irritant humour or coldness.
L5,102,98,A-33.4,Tashannuj al-Aṭfāl,تشنج الاطفال,Infantile spasm,"A type of spasm mostly affecting children. It usually occurs because of high fever, constipation, insomnia and crying."
L5,103,98,A-33.5,Tashannuj al-Nufsā’,تشنج النفساء,Post partum spasm,The spasm of muscles occurring in the body of women in the post partum period.
L5,104,98,A-33.6,Tashannuj Wajhī,تشنج وجهي,Facial spasm,The spasm of facial muscles.
L4,105,3,A-34,Ḍu‘f al-Dimāgh,ضعف الدماغ,Cerebrasthenia,"It is the weakness of brain. In this condition the blood supply to whole brain or a part of brain is interrupted and that part or the whole brain does not get sufficient supply of blood leading to the disturbance in different faculties of brain. This condition can also be due to impaired temperament of brain, congenital abnormality of brain, increased <em>Istifrāgh</em> (evacuation) of the body by any method."
L4,106,3,A-35,Dhakāwa al-Ḥiss,ذكاو ۃ الحس,Hyperaesthesia of brain,A condition of increased sensitivity of brain which leads to headache and epilepsy.
L4,107,3,A-36,Ṣudā‘,صداع,Cephalagia/Headache,Pain felt in the head which is divided into many types according to cause.
L5,108,107,A-36.1,Ṣudā‘ Ḥārr,صداع حار,Headache due to excessive heat,Headache on exposure to hot environment. This headache does not involve <em>Mādda</em> (organic matter) or any pathological change inside body.
L5,109,107,A-36.2,Ṣudā‘ Bārid,صداع بارد,Headache due to excessive cold,Headache on exposure to cold environment without involvement of <em>Mādda</em> (organic matter).
L5,110,107,A-36.3,Ṣudā‘ Damawī,صداع دموي,Congestive headache,Headache due to predominance of <em>Dam</em> (blood/sanguine).
L5,111,107,A-36.4,Ṣudā‘ Balghamī,صداع بلغمي,Phlegmatic headache,Headache due to predominance of <em>Balgham</em> (phlegm).
L5,112,107,A-36.5,Ṣudā‘ Ṣafrāwī,صداع صفراوي,Bilious headache,Headache due to predominance of <em>Ṣafrā’</em> (yellow bile).
L5,113,107,A-36.6,Ṣudā‘ Sawdāwī,صداع سوداوي,Melancholic headache,Headache due to predominance of <em>Sawdā’</em> (black bile).
L5,114,107,A-36.7,Ṣudā‘ Rīḥī Dākhilī,صداع ريحي داخلي,,Headache due to the accumulation of gases in the brain that are produced in the body.
L5,115,107,A-36.8,Ṣudā‘ Rīḥī Khārijī,صداع ريحي خارجي,,Headache due to accumulation of gases in the brain from outside the body.
L5,116,107,A-36.9,Ṣudā‘ Bukhārī Dākhilī,صداع بخاري داخلي,,Headache due to excessive production of gases inside the brain.
L5,117,107,A-36.10,Ṣudā‘ Bukhārī Khārijī,صداع بخاري خارجي,,Headache due to excessive production of gases outside the brain.
L5,118,107,A-36.11,Ṣudā‘ Suddī,صداع سدي,Embolic headache,Headache due to <em>Sudda</em> (obstruction). The obstruction can occur either in the blood vessels or meningeal vessels or brain tissues.
L5,119,107,A-36.12,Ṣudā‘ Waramī,صداع ورمي,Inflammatory headache,Headache due to <em>Waram</em> (inflammation) of brain.
L5,120,107,A-36.13,Ṣudā‘ Ḍarabānī,صداع ضرباني,Throbbing headache,Headache due to increased pulsation of arteries in the brain. 
L5,121,107,A-36.14,Ṣudā‘ Ḍu‘f Dimāghī,صداع ضعف دماغي,,Headache due to weakness of brain.
L5,122,107,A-36.15,Ṣudā‘Ḥissī,صداع حسي,Headache due to hyperaesthesia,Headache due to the increased sensation of brain.
L5,123,107,A-36.16,Ṣudā‘ Yubsī,صداع يبسي,Dry headache,Headache due to the predominance of <em>Yubūsat</em> (dryness) in the brain.
L5,124,107,A-36.17,Ṣudā‘ Jimā‘ī,صداع جماعي,Copulative headache,Headache due to excessive intercourse.
L5,125,107,A-36.18,Ṣudā‘ Khumārī,صداع خماري,Alcoholic headache,Headache due to intake of alcohol.
L5,126,107,A-36.19,Ṣudā‘ Shammī,صداع شمي,,Headache due to inhalation of pungent odour or strong smells.
L5,127,107,A-36.20,Ṣudā‘ Ḍarbī/ Ṣudā‘ Tafarruq-i-Ittiṣālī,صداع ضربي/ صداع تفرق اتصالي,Traumatic headache,Headache due to traumatic injury of head.
L5,128,107,A-36.21,Ṣudā‘ Taza‘zu‘ī,صداع تزعزعي,Concussional headache,Headache due to concussion of brain.
L5,129,107,A-36.22,Ṣudā‘ Nawmī,صداع نومي,Somnial headache,Headache due to excessive sleep.
L5,130,107,A-36.23,Ṣudā‘ Dūdī,صداع دودي,,Headache due to the presence of worms in the forebrain.
L5,131,107,A-36.24,Ṣudā‘ Shirkī,صداع شركي,Referred headache,Headache due to involvement of some other disease in the body.
L5,132,107,A-36.25,Ṣudā‘ Shirkī Mi‘dī,صداع شركي معدي,Referred headache due to the involvement of the stomach,Headache due to stomach diseases.
L5,133,107,A-36.26,Ṣudā‘ Shirkī Kabidī,صداع شركي كبدي,Referred headache due to the involvement of the liver,Headache due to liver diseases.
L5,134,107,A-36.27,Ṣudā‘ Marāqī,صداع مراقي,Referred Headache due to the involvement of the peritoneum,Headache due to involvement of peritoneum.
L5,135,107,A-36.28,Ṣudā‘ Nazlī,صداع نزلي,Catarrhal headache,Headache due to catarrh.
L5,136,107,A-36.29,Ṣudā‘ ‘Arḍī,صداع عرضي,Secondary headache,Symptomatic headache which is produced as a symptom of other diseases e.g. fever.
L5,137,107,A-36.30,Ṣudā‘ Buḥrānī,صداع بحراني,Headache during the crisis of disease,Headache in the crisis/critical stage of diseases.
L4,138,3,A-37,Tamaddud,تمدد,,A type of tension occurring at both ends of the muscles causing maximum stretching of the muscles.
L4,139,3,A-38,Kuzāz,كزاز,Tetanus,"A type of tension occurring in the muscles of cervical and thoracic vertebrae, making them elongated."
L5,140,139,A-38.1,Kuzāz Quddāmī,كزاز قدامي,Emprosthotonus,Tension of the anterior muscles of cervical and thoracic vertebrae.
L5,141,139,A-38.2,Kuzāz Khalfī,كزاز خلفي,Ophisthotonus,Tension of the posterior muscles of cervical and thoracic vertebrae.
L5,142,139,A-38.3,Kuzāz Muṭlaq,كزاز مطلق,Generalized spasm,Tension of the whole muscles of the body.
L5,143,139,A-38.4,Kuzāz Janbī,كزاز جنبي,Pleurothotonus,Tension of muscles of one side of the body.
L5,144,139,A-38.5,Kuzāz Dhātī,كزاز ذاتي,,<em>Kuzāz</em> that occurs due to exposure of cold.
L5,145,139,A-38.6,Kuzāz Ṣibyānī,كزاز صبياني,Tetanus neonatarum,Tetanus that occurs in new born due to the wound of umbilical cord.
L5,146,139,A-38.7,Kuzāz Ḍarbī/ Kuzāz Juruḥī,كزاز ضربي/ كزاز جرحي,Traumatic tetanus,Tetanus that occurs due to injury or wound.
