levels,tid,pid,wordcode,code,word,translation,definition,refn
L6,40,38,இரச நீர் வேட்கை நோய்,ADB1.2,Iraca Nīr Vēṭkai Nōy,thirst during conversion of saram to blood.may lead to fatal,"This is characterised by increased thirst,dryness of mouth due to haemorrhage.Loss of intelligence,dyspnoea.This can be explained by deranged azhal influences Iyam affects udanan,pranan,nagan.Among the seven udal thathukkal,saram to seneer is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No.273"
L5,41,35,ஐயம்,ADC,Aiyam,Thirst disease classified under aiyam humour,,
L6,42,41,ஐய நீர் வேட்கை நோய்,ADC1.1,Aiya Nīr Vēṭkai Nōy,thirst due to Iyam,"This is characterised by dysphagia, sweet taste in the tongue,dyspepsia,loss of appetite,loss of taste. This can be explained by deranged Iyam influences azhal affects udanan. Among the seven udal thathukkal,saram to seneer is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 273"
L6,43,41,செரியா நீர் வேட்கை நோய்,ADC1.2,Ceriyā Nīr Vēṭkai Nōy,thirst due to dyspepsia.,"This is characterised by thirst due to consumption of increased sweet,salt,easily indigestible food during any illness or after a long walk . This can be explained by deranged Iyam influences azhal affects udanan. Among the seven udal thathukkal,saram to seneer is affected","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 273"
L5,44,35,முக்குற்றம்,ADD,Mukkuṟṟam,Thirst disease classified under Mukkutram humour,,
L6,45,44,முக்குற்ற நீர் வேட்கை நோய்,ADD1.1,Mukkuṟṟa Nīr Vēṭkai Nōy,thirst in mukkuttram conditions,"This is characterised by fever, delirium, diabetes and asthma. This condition has bad prognosis. This can be explained by derangement of mukuttram. All the seven udal thathukkal is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 273"
L4,46,3,ஊதல் நோய்,AE,Ūtal Nōy,Anasarca,,
L5,47,46,வளி,AEA,Vaḷi,Anasarca classified under Vali humour,,
L6,48,47,வளி ஊதல் நோய்,AEA1.1,Vaḷi Ūtal Nōy,oedema due to vali with pallor,"This is characterized by leanness of the body prior to be aware of the disease,pallor,dyspepsia,malaise,dyspnoea on mild exertion,pre-mature browning of hair,impaired sleeping.This can be explained by derangement of vali influencing azhal affecting ranjagam. Among the seven udal thathukkal saram to kozhuppu is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine and Homeopathy, Page No: 374-375"
L5,49,46,அழல்,AEB,Aẕal,Anasarca classified under Azhal humour,,
L6,50,49,அழல் ஊதல் நோய்,AEB1.1,Aẕal Ūtal Nōy,oedema due to azhal with icterus,"This is characterised by yellowish discoloration of eyes,eyebrow,nasal septum and hair.Sometimes redness of skin vomiting, dyspnoea, headache occurs. Deterioration in physical strength and difficulty in walking, giddiness and frequent sweating occurs. This can be explained by deranged azhal, influencing iyam that affects udanan,vyanan. Among the seven udal thathukkal,saram to Oon gets affected","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976,(2nd ed.), Chennai; Dept of Indian Medicine and Homeopathy, Page No: 375"
L5,51,46,ஐயம்,AEC,Aiyam,Anasarca classified under Aiyam humour,,
L6,52,51,ஐய உடல் நோய்,AEC1.1,Aiya Ūtal Nōy,oedema due to iyam with cholera like diarrhoea,"This is characterised by generalised pruritus,pallor of the body,fever with rigor on and off,insomnia, continuous diarrhoea as in cholera,giddiness,anasarca,panic striken on and off.This can be explained by deranged iyam influencing vali affects abanan,vyanan. Among the seven udal thathukkal,saram to Oon gets affected.","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine and Homeopathy, Page No: 375-376"
L5,53,46,முக்குற்றம் ,AED,Mukkuṟṟam,Anasarca classified under Mukkutram humour,,
L6,54,53,முக்குற்ற ஊதல் நோய்,AED1.1,Mukkuṟṟa Ūtal Nōy,oedema due to mukkutram and fatal,"This is characterised by edema, fever, diarhhoea, abdominal pain, anal pain, dislike to food, pain in both UL and LL,dyspnoea on exertion,giddiness,hypersalivation .This can be explained by derangement of mukkutram influencing one another affects samanan,abanan,udanan and vyanan. All the seven udal thathukkal gets affected.","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine and Homeopathy, Page No: 376-377"
L3,55,2,தோல் நோய்கள்,B,Tōl Nōykaḷ,Skin Disorders,,
L4,56,55,அக்கி,BA,Akki,Herpes zooster,,
L5,57,56,வளி,BAA,Vaḷi,Herper zooster classified under Vali,,
L6,58,57,அக்கி,BAA1.1,Akki,Herpes zooster,"A disorder characterized by Suram (fever), Valiyudan thol sivantha nirathodudan kanapadudhal (painful reddened rashes) occurring in the course of the sensory nerves. This disease may occur in sudden seasonal changes, decreased thega vanmai (Immune compromised conditions). It is common in summer. It may be explained by Increased Azhal followed by Aiyam or vis a vis and all the seven udal thathukkal gets decreased.","R.Thiyagarajan(1995),Siddha Maruthuvam- Sirappu (2nd ed.),Chennai; Department of Indian Medicine and Homeopathy, Page No.313"
L4,59,55,அக்குள் எரிச்சல் கட்டி,BB,Akkuḷ Ericcal Kaṭṭi,abces in the axilla,,
L5,60,59,அழல்,BBA,Aẕal,abces classified under Azhal,,
L6,61,60,அக்குள் எரிச்சல் கட்டி,BBA1.1,Akkuḷ Ericcal Kaṭṭi,abces in the axilla,,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.74"
L4,62,55,கால் ஆணி,BC,Kāl Āṇi,Rougness of skin over the feet,,
L5,63,62,வளி,BCA,Vaḷi,Rougness of skin classified under Vali,,
L6,64,63,கால் ஆணி,BCA1.1,Kāl Āṇi,Rougness of skin over the feet,"It is characterized by cornification in the sole or palm due to constant pressure or friction with hard objects. It may be explained by the increased Vyanan (dryness, thickening, hardness and pain) followed by decreased prasagam (diminished complexion of the affected area). In udal thathukkal Saaram, senner and oon are decreased leading to dryness and hardening of the skin.","R.Thiyagarajan(1995),Siddha Maruthuvam- Sirappu (2nd ed.),Chennai; Department of Indian Medicine and Homeopathy, Page No.296"
L4,65,55,காளாஞ்சகப்படை,BD,Kāḷañcakappaṭai,Psoriasis,,
L5,66,65,அழல்,BDB,Aẕal,Psoriasis classified under Azhal,,
L6,67,66,காளாஞ்சகப்படை,BDB1.1,Kāḷañcakappaṭai,Psoriasis,"It is characterized by erythematous elevated patches with silvery scales in the scalp, palm and sole, with itching, heamorrhagic purpura, cracks in the sole and palm. In chronic stages it affects the nail (Psoriatic nail) and joints (Psoriatic arthropathy - kalanjagavatham) also. It is explained by increased vyanan (Dry and rough skin and swelling of the knee joint, elbow joint and fingers) associated with increased Aiyam (silvery scales) and Increased prasagam (Erythematous patches and bleeding","R.Thiyagarajan(1995),Siddha Maruthuvam- Sirappu (2nd ed.),Chennai; Department of Indian Medicine and Homeopathy, Page No.317"
L4,68,55,காணாக்கடி,BE,Kāṇākkaṭi,Utricaria,,
L5,69,68,அழல்,BEB,Aẕal,Utricaria classified under Azhal,,
L6,70,69,காணாக்கடி,BEB1.1,Kāṇākkaṭi,Utricaria,"It is characterized by erythematous rashes / soft elevated patches in the skin, itching, pain or tenderness due to unidentified cause. It may be explained by the increased Vyanan and prasagam (red patches and itching). In udal thathukkal Increased Saaram, senner leads to pain and erythmatous rashes.","R.Thiyagarajan(1995),Siddha Maruthuvam- Sirappu (2nd ed.),Chennai; Department of Indian Medicine and Homeopathy, Page No.303"
L4,71,55,கரப்பான்,BF,Karappāṉ,Eczema,,
L5,72,71,வளி,BFA,Vaḷi,Eczema classified under Vali,,
L6,73,72,கபால கருங்கரப்பன்,BFA1.1,Kapāla Karuṅkarappaṉ,hyperpigmentation of skin in the scalp,,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.132"
L6,74,72,கந்தக கரப்பான்,BFA1.2,Kaṇṭak Karappāṉ,Eczema occuring in head and ears," It is characterised by burning sensation, thickening of the skin in the scalp and ears, rigor, chillness of the body with goose skin, tingling sensation, dazzling of the eyes and thorny sensation over the skin. It may be explained by the derangement of Viyanan and the Prasagam. All the seven udal thathukkal gets affected.","Anonymous.1976.Yugi vaithiya chinthamani 800. 2nd edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 452"
L6,75,72,திமிர்வாதக் கரப்பான்,BFA1.3,Timirvātak Karappāṉ,eczema with joint pain," It is characterised by pain while sitting and standing, deformity in the joints of the hand, leg and back, odema all over the body, weeping and ulcer formation, polyuria, increased body temperature, vague pain, rigor, malaise, emaciation of the body and pruritus. It may be explained by the derangement of viyanan, prasagam, santhigam). Of the seven udal thathukkal, Saaram (pain, pruritus) Senner (malaise), Oon (emaciation), Kozhuppu (ulcer), enbu (Pain in the Joints) gets affected.","Anonymous.1976.Yugi vaithiya chinthamani 800. 2nd edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 451"
L6,76,72,வளி கபாலக் கரப்பான்,BFA1.4,Vali Kapālak Karappāṉ,eczema occurred in scalp due to increased vali,,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.130"
L6,77,72,வறட்சிக் கரப்பான்,BFA1.5,Vaṟaṭcikkarappāṉ,eczema with dry skin," It is characterised by odema all over the body, tingling sensation, itching, fatigue, drowsiness, dryness of the skin, weight loss, incoherent speech, purulent discharge in the oedematous areas and mal odour. It may be explained by derangement of Viyanan. Of the seven udal thathukkal, saaram (fatigue, dryness), senner, Oon gets affected.","Anonymous.1976.Yugi vaithiya chinthamani 800. 2nd edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 452"
L6,78,72,வாதக் கரப்பான்,BFA1.6,Vātak Karappāṉ,eczema caused by increased vali," It is characterised by general malaise, odema, crusted lesions, deformity of the joints, engorged and tortuous veins, dryness of the skin. It may be explained by derangement of Viyanan. Among the seven physical constituents, saaram (malaise), senner, enbu (deformity of joints) gets affected","Anonymous.1976.Yugi vaithiya chinthamani 800. 2nd edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 451"
L5,79,71,அழல்,BFB,Azhal,Eczema classified under Azhal,,
L6,80,79,அக்கி காது கரப்பான்,BFB1.1,Akki Kātu Karappāṉ,eczema occuring in the ears with boils,,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.163"
L6,81,79,அழல் கபாலக் கரப்பான்,BFB1.2,Aẕal Kapālak Karappāṉ,eczema occurred in scalp due to increased azhal,,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.130"
L6,82,79,அழுகண்ணி காது கரப்பான்,BFB1.3,Aẕukaṇṇi Kātu Karappāṉ,eczema occuring in ears with infection,,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.163"
L6,83,79,பித்தக் கரப்பான்,BFB1.4,Pittak Karappāṉ,eczema caused by increased azhal,,"Anonymous.1976.Yugi vaithiya chinthamani 800. 2nd edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 454"
L6,84,79,கொள்ளிக் கரப்பான்,BFB1.5,koḷḷIkkarappāṉn,eczema occuring in the ears with burning sensation,,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.163"
L6,85,79,பொக்கி காது கரப்பான்,BFB1.6,Pokki Kātu Karappāṉ,eczema occuring in ears with bleeding exudates,,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.163"
L6,86,79,சொறி காது கரப்பான்,BFB1.7,Coṟi Kātu Karappāṉ,eczema occuring in ears with severe itching,,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.163"
L6,87,79,வெடி காது கரப்பான்,BFB1.8,Veṭi Kātu Karappāṉ,eczema occuring in ears with fissures,,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.163"
L5,88,71,ஐயம்,BFC,Aiyam,Eczema classified under Aiyam,,
L6,89,88,ஐய கபால கரப்பான்,BFC1.1,Aiyak Kapāla Karappāṉ',eczema occurred in scalp due to increased aiyyam,,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.132"
L6,90,88,சொறி காது கரப்பான்,BFC1.2,Coṟi Kātu Karappāṉ,eczema occuring in ears with severe itching,,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.163"
L6,91,88,சிலேட்டுமக்கரப்பான்,BFC1.3,Cilēttumakkarappāṉ,eczema caused by increase aiyyam,"It is characterized by difficulty in speech, headache, oral ulcers, salivation and pain along with clinical features of eczema.It is explained by increase in Pitha kuttram due to consumption of food substances causing allergy which is the root cause of the disease and finally affecting the Vatha Kuttram in the body.Among Seven thathus Saaram, Senneer, Oon and Kozhuppu are predominantly affected.","Anonymous.1976.Yugi vaithiya chinthamani 800. 2nd edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 454"
L4,92,55,கட்டி,BG,Kaṭṭi,abcess,,
L5,93,92,அழல்,BGB,Aẕal,abcess classified under Azhal,,
L6,94,93,கட்டி,BGB1.1,Kaṭṭi,abcess,,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.50"
L4,95,55,கொப்புளம்,BH,Koppuḷam,Boils,,
L5,96,95,அழல்,BHB,Aẕal,Boils classified under Azhal,,
L6,97,96,அக்குள் கொப்புளம்,BHB1.1,Akkuḷ Koppuḷam,boils in the axilla,,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.73"
L6,98,96,அம்மை கொப்புளம்,BHB1.2,Ammai Koppuḷam,chicken pox blisters,,"R.Thiyagarajan(1995),Siddha Maruthuvam- Sirappu (2nd ed.),Chennai; Department of Indian Medicine and Homeopathy, Page No.312"
L4,99,55,குட்டம்,BI,Kuṭṭam,Skin lesion,,
L5,100,99,வளி,BIA,Vaḷi,Skin lesion classified under Vali,,
L6,101,100,கபால கருங்குட்டம்,BIA1.1,Kapāla Karuṅkuṭṭam,hyperpigmentation of skin in the scalp,,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.134"
L6,102,100,கபால விடக் குட்டம்,BIA1.2,Kapāla Viṭak Kuṭṭam,thickening of scalp skin due to toxins,,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.135"
L6,103,100,கடிச் செவி குட்டம்,BIA1.3,Kaṭic Cevi Kuṭṭam,skin fissures in the ears,,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.164"
L6,104,100,கடுப்புக் செவி குட்டம்,BIA1.4,Kaṭuppuc Cevi Kuṭṭam,skin irritation over the ears,,"K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.164"
